sentiment,txt
negative,الدول المتقدمة الان تتجه لستخدام الطاقة المتجدده لانها اقل كلفة وليس لها مخاطر على البيئة والانسان ونحن الان نعاني من ضائقة مالية كبيرة وشحة مياه شديدة وكلنا يعلم مدى حاجة المفاعل للمياه اذكركم فقط بما حدث في اليابان وهي الدولة الاكثر تطور في مجال التكنولوجيا وهي عبارة عن جزر وكذلك كم أثر علينا المفاعل النووي الاسرائيلي وحالات السرطان المنتشرة ولو لاحظنا التشوهات الخلقية الاكثر في جنوب البلاد
positive,ربنا يتوب علينا من المعاصى
positive,ونعم بالله عزوجل
positive,﻿احلى شىء النهاية الباقية صح كلامك
positive,نعم الوقت يمر بسرعة
negative, لا والله ماهم اللي مسخرة انا اللي مسخرة اللي تفرجت عليهم 
negative,﻿ اي والله سوبر
negative, وش يحسووون فيه ناس مهبل
negative,اللهم ارفع ظغط فايز الطراونه
negative, العرب مو بتاع هي الشغلات لاكن احنا فاشلين الله معطينا كل متطلبات التحظر والتطور لاكن احنا لازقين بهلتفاهات ونضن انو هي التحظر 
negative, سخافات وتخلف شباب وصبايا هل الأيام !!!
negative,عنجد انو بالة
negative, الله يلعن امك وش ها القرف
positive,ما الزه شكله بشهي بدييييي
positive,﻿اللهم لا اعتراض على حكمك و ارزقنا انت خير الرازقين
positive,﻿نسمات انتعاش الفجر رحمات يظفر بها اهل النور التام الذين توسعت صدورهم بانشراح جماعة الفجر و حيوية صبح يتنفس منتشيا و مرحبا بكل مبادر للخير
negative, الباقيين سخااافه سمااااجه
negative,﻿لو يبطلو سرقه بهالخزينه و الله الشعب ليعيش و لكو ارحمونا حرام عليكم
positive,احمدك ربى على كل ما اعطيت وعلى كل ما منعت
negative,اجل اسقاط حكومة طروانة
negative,﻿ طول عمري بخاف من العوب وسيرة العوب 
negative,﻿و الله انكو ما بتخافو الله
positive,الله يكثر الافراح
negative,﻿ وش هالتحف والله مساكين ماكلين مقلب بقوه 
positive,الحمد لله على نعمة الاسلام وكفى يها نعمة
negative,المرة الجاية راح يكون الرفع للميه اذا استمر الخلط
positive,﻿صباح الرحمة و البركات إن شاء الله 
positive,قصة رائعه ياريت كل الرجال هيك
negative, مالك دين مثل الكلاب الضالة و الا اقولك مثل مومسات و عاهرات المراقص عندكن
positive,صباح الاماني الجميلة المحققة باذن الله
negative,تنظرون لا الشام يقتلون بدم بارد .
negative, والله انك فشلت العرب
negative,﻿ الظاهر اهلها مفقعين وجهها قبل ما تجي ومغطيه الفلعات 
negative, سمآإجةة تآإيمم
positive,كل الاحترام
negative, اشاعه
positive,فوق من اللي انت فيه ربك دايما جمبك لو ناديتو هتلاقيه ..جايز ده اختبار ركز فالاجابه وقول يارب وخد قرار  
negative,ما ازنخ منك إلى هاي الروابط اللي بتسم البدن.... بتتعب يعني لما توخد الصورة وتنزلها تنزيل عادي
negative, سخافه
negative, سبحان الله الزلمات ثافهوووون
negative, يا ثقل دمه الاصلع
negative,﻿قرف
negative, شباب صايع مو ملاقي ياكل و مخه فاضي و متخلف عقليا 
positive,ماخاب من دعا إلى الله
negative,طيب ليه السخريه دى ماكنا كويسين
negative,﻿قرف يقرفك
positive,قمة البلاغة
positive,عظيم هو إسلامنا، 
negative, حرااااام والله حزنت عليه شو هالموقف الشنع
negative, ملعوب عليهم
positive,دربي زدني ثقتا بك فانه لايخيب من وثق بك
negative,شو هالمنشور الوسخ 
positive,اللهم اصلح لنا حالنا
positive,كﻻمك كله رائع بجد ربنا يكرمك
positive,ايوه هيك بدنا ياكم يا شباب مش بس لعب وتسلاية
negative,هبل
positive,﻿أللهم ارضنا بما قسمته لنا
negative, مين معو دوا للصراصير جد لازمهم رش مبيد حشري للقضاء على هيك حالات متخلفة 
negative,الله لا يشبعكو يا ظلمة انشاء الله كلو بتلقو بالاخرة يا ظلمة ..... خافو الله طبعا اذا بتعرفو ل الله.
negative, ما يستحون و هم جايين لو انا منهم اروح اقشر بصل 
negative, حسبي الله عليكم ..الله بحاسبكم على كل حد بينفتن بسلبكم ..الله لا يسامحكم
positive,﻿اللهم اصلح سرى و علانيتى 
positive,تماما .اللهم لا تحرمنا الصدق في الكلام
positive,ربنا يحمى الاسلام والمسلمين
negative, شو هل الاهبل
positive,﻿حلوه قوي يا د.عمرو و لو كل واحد تيقن من هذه القصه لن يوجد حاسد و لا ظالم و لا متواكل اللهم ارزقنا رزقا حلال طيبا اللهم آمين
negative,﻿و الله و الله و الله يا نسور رح ننزل الشارع... وقف الموضوع قبل فوات الاوان
negative,يع بتقرف انت وسخ
negative,ايوه بالصرمة عراسه
negative,﻿فعلا الطاقة الشمسية هي البديل و ليست النووية لان حتى الدول المتقدمة صارت تتخلص من النووي و تتجة للطاقة البديلة و خصوصا احنا الاردن بلد مشمس عالطول السنة و الكلفة ما اتوقع اكثر من الطاقة النووية
negative, مين بشار العاهة هاد الي بهدد، اي عند الجد والله للنساء والبنات تتطلعن قبل الرجال في هالحالة ونلعن ابو الساعة اللي طلعت بشار وغيره شو هالحكي، الاردن قوي بجيشة وقائده فعلاا هززلت قال سوريا قال ولا النعامة او رقبة عالية بدهها قص
negative,﻿ متسمم فكره الولد وصارت حالته صعبه ياحنين انت
negative, يخرب بيتك ما أزنخك
negative,ملاحظه : الكبسه ما بتكهرب والله"
negative, وربي عآإهات مستعصيه
positive,اللهم اصلح نفوسنا لما يرضيك عنها
positive,﻿اللهم اجعل لنا ايمانا صادقا و قلبا خاشعا و علما نافعا
negative,كلامك في غاية الجديه صحيح
positive,اللهم احفظني
positive,والله الرساله دي جاتلي في وقتها قولت اكيد ربنا بعتهالي  الحمد لله وخات القرار 
positive,اللهم نسألك السلامة من مثل هذه الخيبة
positive,قول يا الله ده عنك مش بعيد متشلش هم ولا تشعر بضيق اقول يالله اهديني ياقلبي عشان اتوب امحي الذنوب واهديلي الطريق
positive,﻿ما ارحمك يا ربى بخلقك سبحانك يا حبيبى يا الله
negative, تاااااافهين
positive,﻿فعلا في البداية كلهم رائعون
positive, الحل الوحيد هو القرب من الله وذكره  (الا بذكر الله تطمئن القلوب )قال الله تعالى
positive,﻿اللهم إنا نعوذ بك من غضبك و نسأللك رضاك
negative, شو هيدا دلع اخر زمن
negative, الرابع سكران
negative, المغرب براء منك على الأقل إذا كنت لهجتنا صعبة فتكلم باللغة العربية
negative, اما الغبي اللي يقلد جورج وسوف
positive,يارب اهدنا وقوى عزيمتا الى ما تحب وترضى
negative, محششين خخخخ
positive,﻿اللهم حسننا و حسن اعمالنا ظاهرا و باطنا و لا تجعلنا نعمل الا ما يرضيك عنا برحمتك يا ارحم الراحمين
negative,فاشله
positive,حلمي أن أكون مثل سوشي
positive,طيب الله انفاسك وياسلام لو الشباب او الشابات اذا احبو يحبون كجب شاه جاهان وممتاز محل
positive,﻿صباح مملوء بالخير لجميع المسلمين يا رب
negative,الك يوم يا ظالم
positive,اللهم لا تجعل لحب الدنيا سلطانا على قلبي بل اجعل حبك في قلبي سلطانا
negative, سوبر حمار
positive,ازعج شي الكذب
negative,﻿لنفترض جدلا ان لا اضرار صحية و بيئية سينتج عن بناء مفاعلات نووية سلمية ، دعونا نفكر في الكلفة من حيث اولا: كلفة بناء عالية جدا لعدم امتلاكنا لهذه التكنولوجيا على شكل ديون تثفل كاهل العشر اجيال القادمة، ثانيا: لنفس السبب سنستورد خبراء للتشغيل لسنوات طويلة مما يزيد كلفة الطاقة و ليس العكس ناهيك عن حصول اي اخطاء مفترضة مستقبلا ثالثا: اين هو المكان البعيد عن المدن في الاردن واين مصدر المياه الكافية للتبريد رابعا:من حق المواطنين و اصحاب القرار الحصول على تقرير منشور للاثر البيئي مسبقا. بنفس الوقت نستطيع الحصول على نفس كمية الطاقة من الصخر الزيتي الذي نمتلك منه احتياطي هائل و من الغاز الطبيعي المؤمل مستقبلا و من الطاقة الشمسية و من طاقة الرياح بكلف نسبيا اقل بكثير من النووي دون اعباء ديون اضافية.
positive,صباح النور و السرور 
positive,﻿ بوركت جهودك و سلمت اناملك
negative,ما أجمل من مثل هذا الحُب الصادق الشفا
positive, اي صح و حاليا فاقده الاثنين
positive,كن انت ذلك الشخص   
positive,﻿دعواتك لنا يا شيخ سلمان بالتوفيق و الفلاح و الظفر و حسن الخاتمة 
negative,اكيد لا في عندك ناس بتفهم ووفي ناس عند الاجانب ما بتفهم
negative, الثاني رايح فيها
positive,اهم اشي اكون مبسوط
positive,يا رب اعني ع إتخاذ القرار
positive,صدقت يا أستاذ عمر
negative, يعني عدولة اللي ابصر من وين جاي كيف وصل عشان تشوفة لجنة التحكيم مبين عليه مجنون و مش شايف اشي قدامة
negative,ذبحتونا
negative,ويحطمو رؤوسهم بارجلهم
positive,وسط لا يوجد تركيز
negative, عاهاتك يا وطن
positive,صباح العسل 
negative, دلوع
negative, ناس مطفرة من الآخر 
positive,﻿الشكر لله اولا ثم  ل د.عمر خالد . كان سبب ف أرتد الحجاب
negative,مش طبيعي
negative,الكلب حده﻿ روعه
negative,﻿ مهزلة ياعيب الشووم
negative, يا خسارة عليكو يا شباب المستقبل 
negative, وهابي تاج راسك يا اللي تاكل من وراك و اذا في الوهابية شئ مخالف لكتاب الله و سنة نبيه اذكره و لا تكون كالببغاء تردد خلف الناعقين لتثبت انك على الصراط و انت في هوة الخراب و طنت من طنوت سوريا
positive,دعوة اخاك بظهر الغيب لا ترد
negative,انتو كلاب ازى تسو المصحف بى كلابه زى ده
positive,﻿يا رب يتقبل منا و الله العقل مو فاضي و القلب مكسور
negative, اخييه مااسخفها تقلللد 
positive,﻿نهارك طيب و مبروك
positive,فدمك عود مع عنبر
positive,﻿ان شاء الله يتقبل الله صلاتنا و يزيد في صلاتنا الخشوع
negative, ما عندهم هو قلة احترام للمشتركين وفلة ادب تجاه المشاهدين 
positive,الله يكتر من امثالك يارب
negative,﻿ تضحك كانها مفجوعه من شيئ
negative, مقرف جداً هذا الشخص !!
negative, زماان المطربيين اللى غنو لهم المعاتيه دول ولعو فى مقابرهم وبيعيطو بدل الدموع دم على تراثهم اللى راح 
positive,مقال رائع والله يهدي بناتنا ياااارب ويرجعهم للصواب 
positive,اللهم القلوب الضاله
negative, أما وهابيتك فحدث ولا حرج الناس يقادون إلى المساجد غصباً ويجلدون كالأبقار إن هم أبوا
positive,طبعا واقع
negative,الله يلعنو
negative,﻿اللي لازم يصير اضراب جميع موظفي الدوائر الحكوميه و الخاصه لمدة اسبوع و شوف بعدها
negative, يلعن ابو الاشكال بس !!
negative,﻿مهو اصلأ زي مشروع الباص السريع يلي استملكو عشانه شارع المحطة كاملا و لساتنة منسمع عنو ما شفنا
positive,نفسي يوم اكل وانا مش مستعجلة
negative,ههههههههههههههههههههه مهيه خربانه ان شاء الله يعملو مفاعل قرد بطلت تفرق
negative,لا شو انا مسخرة كلكووو خنازير
negative,الله ينتقم منهم اجمعين اللي في بالي
negative,يلي مكتوب على الجبين بتشوفوا العين ( يعني اذا ناوين على النووي ما راح يفيد المليون توقيع مو الف توقيع مع الاحترام الشديد)
positive,اللهم إن كان لي عوض على صبري
negative, ليش محشورين على بعض كذا ؟ خلصت الطاولات مالقو إلا هـ الطاوله الخايسه 
negative, استاذ غاوي غاوي اذا كنت غاوي المسخره روح اشتغل كراكوز
negative,﻿ذا مرتك بتعمل هيك يا ادمن لا تفكر كل الرجال مثلك تفي عليك
positive,طبعا محدش يقدر بس سبحان الله فيه ناس عايشين من غير مياه
negative,﻿انا مش مسؤول عن الحرامية يتفنجرو بمصاري البلد و انا اشحد
positive,نستجير بالله
negative, ولو هو انسان وعنده احاسيس ممكن من هالموقف اللي الكل يشوفه يتعقد هالإنسان من حياته كلها
negative,لهالدرجه في متخلفين في الوطن العربي؟؟؟؟؟؟
positive,أخرج أهل سوريا من الضيق إلى الفرج
positive,ونشوف اغلى الاحبة في الروضة الرحيبة
negative, بس اللي قاهرني اللي ما ينطقون حرف الراء(التغ)من جدهم جايين يبون يغنون
positive,تبارك الرحمن اللهم زد فينا وبارك لنا ياارحم الرحمين
negative,والله ذا الادمي معاق
negative,﻿حسبنا الله و نعم الوكيل فيكم و في مجلس النواب الحالي و الذي لا يمثل الشعب الاردني فهم غير سأئلين عن الشعب يبحثون عن مناصب وزاريه و رواتب خياليه بينما المواطن الاردني طفح الكيل معه و اصبح لا يطيق الحياه 
positive,صدقت والله انت تريد وانا اريد والله يفعل ما يريد
positive,شكرا دكتور فكلماتك لها بالغ الأثر في نفوسنا
negative,نعم! مصر عايزه راجل مش واحد وسخ بيقرف
negative,خراي على احسن علوي ومحب لهاجحش !! خربت سورية ياكلب
negative,وش يحسون فيه﻿ يع
positive,الهم سدد خطاه وجعل الاسلام نور لكل البشر
positive,﻿بسمه امل امس كانت محتاجه توضيح اكتر لان بعض الناس خلطت بينها و بين الواسطه 
negative,﻿ يا اخي وين ما تروح بالاردن تخطى مناطق الشخصيات المهمة بالبلد و الباقي كله مكرهة صحية
positive,ياي ما ازكاه هاد الاكل
positive,اللهم أنزع من قلبى حب كل شىء لا تحبه
negative,انا مع الاخ محمد سلامة بهالموضوع 
negative, الثالث لاتعليق
negative, اللهم اجعلني دائما مظلوم
positive,﻿كلمات رائعه و حلوه و لا احلى ان يكونو في النهايه رائعون
positive,ان الله هو الرزاق دو القوة المتين
negative, البرنامج الي بعد سوبر ستار الي يقلده دم ثقيل
positive,﻿اي و الله صحيح أهم شي الانسان كرامته
positive,﻿انشاء الله نكون راضين بقضاء الله و لكننا نرجو من الله اللطف فيه
positive,﻿و رزقك خير هذا اليوم
positive,يارب اعنا علي ترك المعاصي ماحيينا
positive,كلامك جميل ورائع
negative, اكاديمي اللي خلفت عاهات للفن المعاق حاليا فيزيدون الطين بله
negative, تبا لكم 
negative,﻿الله يكون في عون الفقير و الطبقه المتوسط سوف تنحدر اكثر و اكثر
positive,يا هيك الاكل يا بلا لش الحكي
positive,﻿كثر الله من أمثالك و زادك الله علم
positive,يا مقلب القلوب والابصار ثبت قلبى على دينك
positive,من كانت له عزيمة لن ييأس ، ومن ابتغى الأجر من الله ثابر، حياكم الله اخي مؤمن
positive,اتمنى ان يواسينا العرب بمصابنا 
positive,برك الله فيك وجعلاهاء في مزان حسناتيك
negative,اغبياء
positive,اللهم اعنا على ذكرك وشكرك وحسن عبادتك
positive,ﺻﻠـﻲ ﻋﻠﺸـﺎﻥ ﻏﻴﺮﻙ ﻧﻔﺴـﻪ ﻳﻘـﻮﻡ ﻣﻦ ﻗﺒﺮﻩ ﻳﺼﻠـﻲ  
positive,﻿لك كلك ذوق و حكمه
negative,هلأ كففت عن قسوتك.."
positive,صباحك جمال و روعه 
negative,﻿و الله حرام و الله موتوه لشعب الاردني من وين بدنا نجيب الكو من وين يا الله ارحمو من في الارض يرحمكم من في السماء و الله حرام
negative, سخيف مره يمسخرون الواحد ومافي شي يضحك اصلا
positive,فما اجمل هذا الدين
negative,﻿ مجانين أحد يضحك عليك وأنتم قدامه وتكمل 
positive,يا رب ارزقنا الفرح والسعادة 
positive,كلمات حلو
negative,لله يحرق قلبك يبشار
positive,أفعال لا تحتاج إلى أقوال
negative, لا يعني ..الغبي يدري انه كاتب اسمها بالورقه..مايبيلها ذكاء ترى
positive,صدقت
positive,ربنا يقويكى على اخد القرار الصح واحسنى الظن بالله وتوكلى عليه وربنا يقويكى على ضعفك ياااااااااارب ويعدك عن الغلط ده
negative, فاشلين الى ما لا نهاية
positive,يا هيك الشباب يا بلاش
positive,رائعين يا مصريين
positive,أن الله موجود
negative,﻿الطاقة الشمسية هي البديل و ليست النووية
negative,لما اجد فيها الا الجراح
negative,﻿وانا positivenegativenegative% بس شكلها هاي مو مدرسة 
negative, يا اخي اطلع في صورتك بالمراية وشوف ادائك هوة اداء فني+صوت مناسب قبل لا تفضح حالك في هيك برامج تافهة
negative, هنا نجد اصحاب السوء يحضرون بقوة لان ها هولاء لم يحظروالى بعد تشجيع من اناس حولهم
positive,أهلا بك في دين الحق والسلام
positive,ما سال لله الهادي الخالق
negative, قصدك اخر ما توصل اليه العقل البشري من تفاهات
positive,هكذا المسلمون
positive,الحمد لله اصبح على وجهك المشرق كل يوم
negative, لجنه حكم ماعندها ذره احترام 
negative, شكلك احول ... موب حوله ..
positive,﻿و طمّأنينَه صباح ٱلآملَ بًٱللِه و ٱلثِقةً
positive,صباح الوجه الصبوح 
positive,ربنا يشفيهم
negative, حرام عليك كانو بقرة بتولد
positive,الله يتمم افراح الجميع يا رب
negative, تأثير الغرب مبين على العرب المجانين
negative, هي فلسطين راحت من قليل يا ولاد المخنثة لعنة الله عليكم فظحتونا..
positive,﻿اللهم ارزقنا من خيري الدنيا و الآخرة و ارزقنا حسن الخاتمة و ارزقنا الفردوس الأعلى مع من نحب و ارزقنا لذة النظر إلى وجهك الكريم
positive,اسل الله ان يستجيب دعائكم
negative, صوتها عجييييييب
positive,﻿الاخلاص اللهم انا نسالك الاخلاص فى القول و العمل و السر و العلن
positive,﻿اللهم انصر المسلمين و المسلمات في كل مكان
positive,الثقة باللة ثم النفس ويارب اجعلنا من يغير الناس الي ما ترضية
negative,﻿ وانت اسكت لا تتحطم 
positive,﻿سبحانك ربنا الواحد الأحد لا شريك لك تحيي و تميت و أنت على كل شيء قدير و صلى الله و سلم على نبينا محمد و على آله و صحبه أجمعين.
negative, واضح جدا إن أغلب الناس هاي عندها مشاكل نفسيه
positive,صحيح الابتسامه لها تعابير كثيره
positive,قصة جميلة تعلم الناس كمان الامانة لان اذا اخذ القليل اخذا الكثير
positive,﻿ما أجمل الصبر و الإصرار
negative, مايستحون
negative,﻿ مين اللي ضآإحك عليهم وقآإيل إن أصوآإتهم حلوة 
negative,﻿ عاهات اللهم لاشماته
positive,﻿الله يسعدك و يبعد عنك كل شر
negative, ثكلتك امك
negative, على فكره المعلقين هدول ولاد حرام
positive,فعلا الله يجزيك كل الخير دكتور والله يثبتنا على ديننا
negative, ابو الشباب راعي العود ليش ماوزنه في البيت غباء
positive,إن الدين عند الله الإسلام .. هذا هو الدين الذي يجب أن يعتنقه كل إنسان علي وجه الأرض وليس العرب فقط .. اللهم أهدي غير المسلمين إلي دين الإسلام 
positive,يأتيك بالأرزاق من حيث لا تدري 
positive,﻿يا رب رضينا و امنا و صدقنا ... فارضينا برضاك عنا .. و اجبر كسر قلوبنا و هون علينا 
positive,اللهم ارزقنا الصحبه الصالحة
negative,﻿دلوعه جدا مايا﻿
negative, معتيه واضح انهم يمثلون
negative, بسعد ربك وصباحك عسل انت وكل من قال انا اردني وبحب القياده الهاشميه وتراب الاردن وسنح الاخوان ولاد كلب على هالصبح
positive,﻿اللهم ثبتنا على قيام الليل في رمضان
negative,حبيبي شرلبوني يموت ب شرلبونا و انا مدريدي﻿ لكن ماني مغير لعيونه
negative,﻿ يا فضيحتك يا لبنان بهيك عالم اما هيدا سكت اني ولك دخيل الله خليك ساكت
negative,انت واحد  عنجد قليل ادب الله يموت الي امثالك
positive,يارب ناخذ القرار الصح
positive,اللهم اروقنى من يواسينى فى الدنيا والاخر
negative, وربي كلبتي جات جلست عندي أول ما فتحت هالفيديو ويوم خلص التفت لها إلا وألاقيها نايمة 
positive,ياريت حدا عم يواسي السوريين بغربتهن للاسف باب رزق جديد للعرب
negative,﻿اكيد حياتي ما في حدا بشبهك لو في كان نتحرت زمان 
positive,اللهم اجعلنا منهم وارزقنا الطاقه ولاراده لزللك ياربى
negative, هذا عدا عن عنصريتكم البغيضة وجلافتكم وعنجهيتكم الفارغة مع بقية الشعوب. 
negative, حركة ارحمينا الله يشيلك اقول كيف اخوكي وابوكي راضيين عنك اف عندك ايزي
negative,﻿منكو لله احنا لاقيين حق الخبز لحتى ترفعو البنزين صار الواحد يحب يخلص دراسه عشان ما يضل بلاردن لانو ما فيها اشي لا رواتب و لا اشي جد بلد مش فقير بس كلو بوكل كلو و الله ما بنلوم الحراميه ع هيك بلد
positive,طريق واحد عدم اليئس هو طريق النجاح
positive,يارب كون معاي .وإنو من ترك شيئآ لله عوضه الله خيرآ منها في الدنيا قبل الآخره جربو وحتشوفوا بعينكم إللي حيحصل
positive,الدين المعاملة
positive,﻿سبحان الله و بحمده عدد خلقه و رضى نفسه و زنة عرشه و مداد كلماته
positive,بجد موضوع رائع وانا اجد انه مناسب ايضا لهذا الوقت يارب احفظنا من جميع الفتن 
positive,امين يا رب انت شاب زي الفل ما شاء الله عليك
positive,﻿مثال جميل جدا . عبرة لكل من يحمل رسالة الاسلام
negative,الله يوخذكم
positive,تركنا الحرام من اجل ربنا حبيبنا ووالله سيعوضنا خيرا 
positive,هاكدا هو دين المحبه الصحيح .. بس للاسف الكثيرين يتبنوه حسب ما يشتهون 
positive,ربي يهديهن
negative,﻿ حلوه عدوله احس انه يفطر حشيش 
positive,صباح الود
negative, فيروسات بشرية
positive,ان شاء الله وربنا يعيننا
negative,﻿سدئناك يا كذاب
negative,والمصحف عاهاااااات
positive,﻿ليتنا نستطيع الابتسامه في الاوقات المؤلمه
positive,قصة فى منتهى الروعة
positive,يااااارب إغفر لي ذنبي وأرزقني حبك .هوربنا ممكن يكره حد لو فضل يكرر ذنبه بعد الإستغفار
positive,﻿تفائلوا بالخير تجدوه و اعملوا الصالحات
negative,﻿اي تقدم اي ازدهار مفاعل النووية بعمل الامراض كثير اهم السرطان الله يبعده عنها و انا معهم رفض المفاعل النووية
positive,ربي ينعم علينا بنعمة الخشوع 
positive, انا احب هذا الكاتب
negative,﻿معظم اصحاب محطات الوقود و وكالات الغاز متنفذين .لقد زاد الغني غنى و الفقير فقر 
positive,﻿اللهم ارزقنا الصدق و الاخلاص
positive,فوق من اللي أنت فيه ربك دايمًا جنبك
negative,﻿ كسم العته البشرى 
negative,بدكو تخلونا نشحد
negative,نادرا ما بتصير لو انه الشعب بتطور وبيتعلم مع الوقت
positive,يارب اهدي بنات وشباب المسلمين الي ما يرضيك عنهم وكفيهم شر فتن الدنيا والاخره
positive,والله الكل نعمة كبيرة 
negative, لجنة تاااافهة
negative,الله على الظالمين
positive,سلمت يمناك كلام من ذهب
negative,اوقف القرار للحفاظ على الوطن
negative,﻿ اخ يا غبي 
negative, ليش تتضحكو مش حللللوو
negative,هات ناس تفهم .. والمثل بحكي اسأل مجرب ولا تسأل خبيير
negative,اووخص وش هالمناشف *&^
negative,هعهعهع مش حلو
negative,﻿ما انتو ادرى انو الموضوع مش لصالح الصحه العامه بعدين مش كل اشي بتعملو امريكا لازم نعملو و نصير امعه اصلا احنا دول امعه شو بتحكي امريكا ولا الضالين امين نفسي امريكا تقلدنا باشي واحد
negative,شو هالافكار الجهنميه يا خال
positive,حقيقى لازم نجمد قلبنا عن اى حاجة غلط
positive,فعلا ده صحىح مثلا زى سماع الاغانى التى تلهى عن زكر الله لو تركتها لله ىملا الله قلبك بحبه ولاتشغل بالك الا بذكره
positive,يارب اوقف جنبي وقدرني
negative,ما حد بيتحكم فيي
positive,﻿ما فيها شك
positive,والله قررات من دلواتى يا مصطفى بس انا عاز رايك فى حاجات كتير 
positive,نعم صدقت لله درك
negative,جنييه
negative, انا انجنيت
negative, الحق مش على لجنة التحكيم الحق على الاغبيه المشتركين
negative,انا شوفت وقاحه بس زاي وقاحة الاخوان ما شوفت.
positive,ربنا يعنا علي كل شيء
positive,هذا هو الدين 
negative, يلعن اوم الطفش 
negative,زنخة زيك
positive,اللهم اعنا على فعل الخيرات
negative,انا اشوفه انه عادي ولا فيه اي معنى وايش مليوني مشاهد والله انه ما يستحق الى هذا الحد من المشاهده وبعدين هاض شي مقزز
negative,علي الطﻻق الي في رجلك يا حجه بتسوى كل سﻻح العرب لمعفن
negative,﻿شعب لا يحركه هذا الظلم و التعدي على كرامته هو شعب لا يستحق الحياة
negative, والله انا نفسي بزعل اذا رجعت لانه مش احنا اللي بنستحقها
negative,هؤلاء معوقين﻿
negative,شكلك دايما متاخرة عن المدرسة
negative,واحد هامل 
positive,﻿صباح الهمة و النشاط شيخنا الفاضل
negative,﻿و الله حرام الناس مش لاقيه توكل حتى ترفعو البنزين
positive, احسن علاج هذا
negative, هذا ليس مضحك ، بل مخزى ، يا للخزى و العار 
negative, يلعن أم الأزعاج 
positive,يا رب ما لنا سواك
negative,﻿ سلمتك بيد لله فظيع 
positive,شكرا لك
positive,فعلا الله يبعدنا عن الكذب
positive,﻿اللهم أرضنا و أرضى علينا
negative, برنامج فاشل جدا
negative,﻿احنا ما بدنا اياه لانا ما منفهم المفاعل النووي فوق طاقتنا صعب علينا و بكرة بذكركم و سألوا الباص السريع الثقة معدومة ... القمح فاسد المصفاه مش حسب المواصفات الخضار والفواكه مواد كيماوية شوارع مش مصانة حفر ومطبات ....الخ الافضل استغلال الطاقة الشمسية او الريح او الماء.. ليس هروب من التطور وانما الابتعاد عن الفشل الأكيد عبر التجارب .
positive,ليت كل ايام السنة رمضان
negative,يا ترى الحكومه بدها تزيد دعم المواطن الي الله يكون في عونه
negative,ومن خسئ الشيعة اخوان القردة و الخنازير
positive,اللهم أبعد عنى شهوات الدنيا وقربنى منك وأغفر لى ولكل المومنين
positive,امشي عدل يحتار عدوك فيك
negative,﻿يمكن امركا والصين الي بتحكي عنها مساحتها قد الأردن بمية مرة يعني لو صار تسرب نووي او اي مشكلة بتنحل اما الأردن اي مشكلة بتاثر على البلد كلها بعدين احنا حكومتنا خلصة كل أنواع التطور و ضايل عليها بس تعمل برنامج نووي و بتصير زي امريكا و بجوز يعطوها حق النقض
negative,إعجبه﻿ إطعم آكيد حمضيات
positive,يارب يتقبل منا والله العقل مو فاضي والقلب مكسور
positive,﻿لازم كل واحد فينا يفكر بشكل ايجابي و يبعد عنه السلبيات
negative,انت ما تستحي تقارن القران بوحدة ساقطة انعل ابوك لا ابو الملحد
positive,فإجعل اللهم عوضي فيه 
negative,وبالمناسبة، اذا على مصادر الطاقة، فالاردن غني بالزيت الصخري، وفش داعي لمصايب جديدة ع البشر والبيئة!
negative, عنجد هذا الانسان تافه وحقير
positive,اللهم انزع من قلوبنا مالا يرضيك
positive,إنما المؤمنون أخوة
positive,رب كريم
negative,حزني كثير والله﻿ 
positive,دي اخلاق السلف الصالح
negative, شو هالغباء فضحتنا
negative,﻿احنا ما بدنا اياه لانا ما منفهم المفاعل النووي فوق طاقتنا صعب علينا و بكرة بذكركم و سألوا الباص السريع الثقة معدومة ... القمح فاسد المصفاه مش حسب المواصفات الخضار و الفواكه مواد كيماوية شوارع مش مصانة حفر و مطبات ....الخ الافضل استغلال الطاقة الشمسية او الريح او الماء.. ليس هروب من التطور و انما الابتعاد عن الفشل الأكيد عبر التجارب .
positive,الابتسامة كلمة بدون حروف
negative,التطبيقات قليله بالمتجر ولازال امام مايكروسوفت عمل طويل للتغلب على هذه المشكله
positive,اكيد لو فى كده الدنيا
negative,﻿الشعب الذي اختار نواب خرجين سجون و سوابق بستاهل اكثر من هيك مشان 5negative دينار الله لا يرد هيك شعب
negative, كسم البرامج العربية متخلفة بنت شرموطة
negative,مت عليهم حيطه هالانذال اصحاب الاجندات الخاصه الخارجيه العميله
negative, كنت اشوف الاجانب اقول موسوسين
negative, هذه البراامج اللي تخلف العاهات للفن الهابط فن اليومين هذا
negative, الله ينتقم منه حمزه منصور واعوانه حسبنا الله فيهم
positive,﻿و جنة النعيم من الرحمن
positive,﻿و خير الكلام ما قل و دل
positive,﻿كرامتى اولى
positive,يارب ارزق العزيمة لاتخاذ القرار ويا رب اخلفنا خيرا منه
positive,أحيانا يكون الفشل دافع للنجاح
negative,﻿كيف صرت كاتب يا زلمة ؟؟ انت كثير عليك حمار
